UserID,State,Major
3276,CA,Not Applicable
4368,GA,Not Applicable
6246,GA,Political Science
6275,DE,
7709,NY,Hospitality Administration and Management.
9445,NJ,Criminal Justice
10303,FL,Nursing Program
12679,IL,Not Applicable
13203,GA,Not Applicable
14776,TX,
17523,PA,Not Applicable
22300,WA,Not Applicable
23502,DE,Business Administration
25522,NY,CHEMISTRY AND BIOLOGY
25840,IL,Not Applicable
26787,NY,American Studies
32794,CA,English-Business administration
35066,AZ,
35126,OH,
36166,TX,Digital Media
37010,TX,Science/Criminal Justice
38227,TX,General
39036,LA,Not Applicable
40575,MI,
43619,CT,Chemistry
43963,AZ,Finance
44492,MN,Accounting
45249,MI,Bachelor's Degree of Applied Science: Digital Animaton and Game Design
45650,MI,Justice and Communications
47333,FL,Not Applicable
49513,CA,
50285,FL,
57092,PA,Not Applicable
57663,MD,GED
57795,TX,General Office
58900,GA,Biology
59805,MD,Not Applicable
60339,TX,Accounting/Business
61686,GA,Accounting
67396,FL,Not Applicable
69487,TX,Business Administration
69988,MO,Teaching
70000,NV,Not Applicable
71846,DE,
72725,NY,Certified Nursing Assistant Program
73560,IL,Nuclear Engineering
74366,NJ,Engineering Science
75967,OH,Not Applicable
76468,VA,Not Applicable
77970,FL,
78917,OH,Broadcasting and Business Administration
81882,IL,CSI
82386,CA,Not Applicable
82430,NJ,
82856,PA,Liberal Arts and Sciences
84378,IL,Building and Construction
84780,GA,Word processing
85864,CA,
88383,DE,Not Applicable
88592,NJ,Finance
89876,CA,Not Applicable
91862,DE,
93690,TX,English
94700,CA,Management
95803,IN,Not Applicable
96888,GA,African American Studies
99365,GA,
100594,FL,Not Applicable
101668,AZ,
102142,KS,Chemical Engineering
102877,TX,
103527,FL,Dimension & Cosmetic Surgery
105307,TX,Not Applicable
105874,GA,GED
106485,IL,Electrical Engineering
107243,FL,Not Applicable
107359,FL,Not Applicable
107548,CA,General Studies
107757,FL,Psychology
110277,VA,"Education, General"
113723,OH,Merit-based Scholarship for Graduate Studies
116509,TX,Biomedical Engineering Technology
117378,MO,Four Years Mechanical Engineering
117646,MN,Law Enforcement
118788,CA,Spanish
119043,CA,Military Education
120989,CA,
121452,FL,
121592,MI,Genie Electrique
121973,NY,Law
122024,CA,
123244,NV,Business Administration
124039,SC,Business Management
124467,NY,
125210,CA,Information Technology
125893,VA,
127366,IL,Organizational Leadership
129531,VA,Medical Assistant
130727,GA,several President
131301,TX,
132129,AZ,Psychology
133131,NY,
